State,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Alabama,5683,5841,5753,6008,6475,7189,8071,8452,9098,9359,9496,9751
Alaska,4328,4633,4919,5070,5075,5455,5759,5762,6026,6012,6149,6571
Arizona,5138,5416,5481,5682,6058,7263,8840,9967,10134,10296,10414,10646
Arkansas,5772,6082,6232,6415,6417,6627,6901,7029,7287,7408,7606,7867
California,5286,5528,5335,5672,5898,7259,8194,9436,9361,9274,9187,9270
Colorado,4704,5407,5596,6227,6284,6948,7748,8316,8793,9293,9299,9748
Connecticut,7984,8249,8368,8678,8721,9371,9827,9736,10037,10453,10664,11397
Delaware,8353,8611,8682,8946,8995,9987,10534,11026,11363,11503,11515,11676
Florida,3848,3924,3888,3879,4150,4783,5511,5941,6495,6452,6345,6360
Georgia,4298,4492,4584,4790,4831,5550,6428,7709,7853,7992,8063,8447
Hawaii,4267,4264,4957,5748,6318,7356,8164,8840,8972,9270,9713,10175
Idaho,4525,4790,4874,5021,5004,5415,5835,6002,6239,6462,6610,6818
Illinois,8183,8444,9450,10425,10872,11536,12008,12285,12675,12853,12813,13189
Indiana,7368,7517,7687,7877,7836,8470,8744,8813,9078,9119,9049,9120
Iowa,6813,6863,6919,7124,6980,7438,7832,7988,8157,8007,7868,7877
Kansas,5345,5739,6114,6583,6521,6995,7254,7310,7583,7896,8270,8530
Kentucky,5640,6142,6760,7194,7388,7886,8231,8423,8815,8889,9223,9567
Louisiana,4453,4513,4421,4388,4419,4745,5181,5542,6120,6748,7337,7871
Maine,7058,7408,7759,8403,8764,9469,9792,9894,9753,9594,9560,9573
Maryland,8531,8717,8463,8380,8020,8285,8470,8410,8552,8663,8697,9163
Massachusetts,8863,8959,8893,9036,8939,10239,10386,10738,11093,10981,10987,11588
Michigan,7931,8668,8998,9737,9906,10817,11095,11452,11660,11851,11618,11991
Minnesota,8144,8481,8817,8934,9024,9739,10276,10583,10793,10691,10582,10831
Mississippi,5029,5110,5219,5450,5367,5488,5795,5993,6416,6707,6870,7147
Missouri,7477,7659,7653,7842,7842,7996,7959,8118,8276,8268,8409,8564
Montana,5630,6007,6166,6075,5789,6079,6143,6212,6412,6360,6301,6351
Nebraska,5947,6476,6132,6394,6462,6909,7225,7295,7483,7473,7348,7608
Nevada,3621,3687,4275,4523,4771,5035,5822,6384,6656,6525,6438,6667
New Hampshire,10188,10484,10704,11111,11168,12273,13077,14263,15224,14969,14756,15160
New Jersey,10054,10505,10943,11427,11661,12338,12752,12708,12935,12998,13027,13303
New Mexico,4926,5187,4757,4867,4904,5304,5614,5741,5915,6089,6166,6355
New York,6235,6114,5912,5816,5556,6361,6342,6554,6836,7076,7306,7644
North Carolina,4493,4464,4770,4933,4764,5030,5827,6010,6459,6657,6685,6973
North Dakota,5804,6197,6464,6649,6626,7021,7191,7248,7298,7431,7527,7688
Ohio,10378,10186,9903,9695,9194,9425,9913,9980,10175,10157,10104,10196
Oklahoma,4454,4639,5198,5721,6120,6008,6294,6413,6670,6726,7094,7450
Oregon,6579,6632,6539,6812,6769,7653,8138,8445,8658,8786,8949,9371
Pennsylvania,10394,10556,10615,11219,11233,11929,12404,12766,12893,13079,13157,13395
Rhode Island,7476,7864,7959,8273,8384,9423,10201,10578,11376,11132,10977,11390
South Carolina,8330,9020,9280,9591,9908,10550,11016,10940,11192,11407,11470,11816
South Dakota,5479,5610,5827,6122,6182,6684,6916,7176,7696,7809,7713,8055
Tennessee,5426,5817,5832,6147,6169,6758,7140,7574,7996,8210,8941,9263
Texas,6395,6577,7019,7390,7507,8121,8477,8507,8692,8705,8852,9117
Utah,4125,4376,4475,4650,4638,5068,5381,5599,5846,6042,6171,6363
Vermont,11067,11295,11473,12013,12305,13316,13655,13833,14089,14267,14501,14993
Virginia,7030,7356,7689,8029,8225,8795,9643,10072,10314,10590,11202,11819
Washington,6192,6415,6649,6858,6980,8113,8973,10029,11037,11045,10703,10288
West Virginia,4575,4728,4886,5048,5107,5519,5721,5848,6130,6388,6698,7171
Wisconsin,6575,6871,7086,7348,7373,7945,8441,8659,9052,8931,8785,8815
Wyoming,4086,4188,4122,4072,3929,4129,4299,4357,4456,4499,4654,4891
