"","State","percent","year","cost"
"1","Alabama",17.2290021536253,"2004-05",5683
"2","Alaska",12.3573276518034,"2004-05",4328
"3","Arizona",16.9641179785835,"2004-05",5138
"4","Arkansas",12.2791407143765,"2004-05",5772
"5","California",11.6073354908306,"2004-05",5286
"6","Colorado",20.5170291341814,"2004-05",4704
"7","Connecticut",13.7755549706063,"2004-05",7984
"8","Delaware",9.78074683110654,"2004-05",8353
"9","Florida",13.3490566037736,"2004-05",3848
"10","Georgia",23.9019770332662,"2004-05",4298
"11","Hawaii",19.7641277641278,"2004-05",4267
"12","Idaho",14.4177178058082,"2004-05",4525
"13","Illinois",8.95443172340587,"2004-05",8183
"14","Indiana",4.12280701754386,"2004-05",7368
"15","Iowa",0.571283483559731,"2004-05",6813
"16","Kansas",14.9589683470106,"2004-05",5345
"17","Kentucky",13.9646702205498,"2004-05",5640
"18","Louisiana",34.1760894422564,"2004-05",4453
"19","Maine",-2.28768411156377,"2004-05",7058
"20","Maryland",7.56302521008403,"2004-05",8531
"21","Massachusetts",10.3727994477045,"2004-05",8863
"22","Michigan",7.47227086981903,"2004-05",7931
"23","Minnesota",5.12418059274305,"2004-05",8144
"24","Mississippi",18.9170281236883,"2004-05",5029
"25","Missouri",7.06445586174685,"2004-05",7477
"26","Montana",3.27507479137144,"2004-05",5630
"27","Nebraska",5.034174553102,"2004-05",5947
"28","Nevada",12.6743662816859,"2004-05",3621
"29","New Hampshire",13.7401055408971,"2004-05",10188
"30","New Jersey",4.14192287453958,"2004-05",10054
"31","New Mexico",11.6601101494886,"2004-05",4926
"32","New York",17.032967032967,"2004-05",6235
"33","North Carolina",16.4348200200774,"2004-05",4493
"34","North Dakota",6.46462018730489,"2004-05",5804
"35","Ohio",2.77559827383288,"2004-05",10378
"36","Oklahoma",15.5167785234899,"2004-05",4454
"37","Oregon",13.1576139152705,"2004-05",6579
"38","Pennsylvania",7.39828294139604,"2004-05",10394
"39","Rhode Island",10.4389815627744,"2004-05",7476
"40","South Carolina",6.77048070412999,"2004-05",8330
"41","South Dakota",14.1402855369336,"2004-05",5479
"42","Tennessee",22.9191406671705,"2004-05",5426
"43","Texas",7.01985302182736,"2004-05",6395
"44","Utah",15.4329718686154,"2004-05",4125
"45","Vermont",8.9241646101514,"2004-05",11067
"46","Virginia",18.4110330823251,"2004-05",7030
"47","Washington",12.7818818040435,"2004-05",6192
"48","West Virginia",20.2203318923442,"2004-05",4575
"49","Wisconsin",4.24276800907544,"2004-05",6575
"50","Wyoming",12.1038642404416,"2004-05",4086
"51","Alabama",17.2290021536253,"2005-06",5841
"52","Alaska",12.3573276518034,"2005-06",4633
"53","Arizona",16.9641179785835,"2005-06",5416
"54","Arkansas",12.2791407143765,"2005-06",6082
"55","California",11.6073354908306,"2005-06",5528
"56","Colorado",20.5170291341814,"2005-06",5407
