"","publisher","page_id","name","urlslug","id","align","eye","hair","sex","gsm","alive","appearances","first_appearance","month","year","date"
"1","Marvel",1678,"Spider-Man (Peter Parker)","\/Spider-Man_(Peter_Parker)","Secret Identity","Good Characters","Hazel Eyes","Brown Hair","Male Characters",NA,"Living Characters",4043,"1962, August","August",1962,1962-08-01
"2","Marvel",7139,"Captain America (Steven Rogers)","\/Captain_America_(Steven_Rogers)","Public Identity","Good Characters","Blue Eyes","White Hair","Male Characters",NA,"Living Characters",3360,"1941, March","March",1941,1941-03-01
"3","Marvel",64786,"Wolverine (James \""Logan\"" Howlett)","\/Wolverine_(James_%22Logan%22_Howlett)","Public Identity",NA,"Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",3061,"1974, October","October",1974,1974-10-01
"4","Marvel",1868,"Iron Man (Anthony \""Tony\"" Stark)","\/Iron_Man_(Anthony_%22Tony%22_Stark)","Public Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",2961,"1963, March","March",1963,1963-03-01
"5","Marvel",2460,"Thor (Thor Odinson)","\/Thor_(Thor_Odinson)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",2258,"1950, November","November",1950,1950-11-01
"6","Marvel",2458,"Benjamin Grimm (Earth-616)","\/Benjamin_Grimm_(Earth-616)","Public Identity","Good Characters","Blue Eyes","No Hair","Male Characters",NA,"Living Characters",2255,"1961, November","November",1961,1961-11-01
"7","Marvel",2166,"Reed Richards (Earth-616)","\/Reed_Richards_(Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",2072,"1961, November","November",1961,1961-11-01
"8","Marvel",1833,"Hulk (Robert Bruce Banner)","\/Hulk_(Robert_Bruce_Banner)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",2017,"1962, May","May",1962,1962-05-01
"9","Marvel",29481,"Scott Summers (Earth-616)","\/Scott_Summers_(Earth-616)","Public Identity",NA,"Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",1955,"1963, September","September",1963,1963-09-01
"10","Marvel",1837,"Jonathan Storm (Earth-616)","\/Jonathan_Storm_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",1934,"1961, November","November",1961,1961-11-01
"11","Marvel",15725,"Henry McCoy (Earth-616)","\/Henry_McCoy_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blue Hair","Male Characters",NA,"Living Characters",1825,"1963, September","September",1963,1963-09-01
"12","Marvel",1863,"Susan Storm (Earth-616)","\/Susan_Storm_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",1713,"1961, November","November",1961,1961-11-01
"13","Marvel",7823,"Namor McKenzie (Earth-616)","\/Namor_McKenzie_(Earth-616)","No Dual Identity",NA,"Green Eyes","Black Hair","Male Characters",NA,"Living Characters",1528,"NA, NA",NA,NA,NA
"14","Marvel",2614,"Ororo Munroe (Earth-616)","\/Ororo_Munroe_(Earth-616)","Public Identity","Good Characters","Blue Eyes","White Hair","Female Characters",NA,"Living Characters",1512,"1975, May","May",1975,1975-05-01
"15","Marvel",1803,"Clinton Barton (Earth-616)","\/Clinton_Barton_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",1394,"1964, September","September",1964,1964-09-01
"16","Marvel",1396,"Matthew Murdock (Earth-616)","\/Matthew_Murdock_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Red Hair","Male Characters",NA,"Living Characters",1338,"1964, April","April",1964,1964-04-01
"17","Marvel",55534,"Stephen Strange (Earth-616)","\/Stephen_Strange_(Earth-616)","Public Identity","Good Characters","Grey Eyes","Black Hair","Male Characters",NA,"Living Characters",1307,"1963, July","July",1963,1963-07-01
"18","Marvel",1978,"Mary Jane Watson (Earth-616)","\/Mary_Jane_Watson_(Earth-616)","No Dual Identity","Good Characters","Green Eyes","Red Hair","Female Characters",NA,"Living Characters",1304,"1965, June","June",1965,1965-06-01
"19","Marvel",1872,"John Jonah Jameson (Earth-616)","\/John_Jonah_Jameson_(Earth-616)","No Dual Identity",NA,"Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",1266,"1963, March","March",1963,1963-03-01
